,Activity Period,Operating Airline,Operating Airline IATA Code,GEO Region,Terminal,Boarding Area,Passenger Count,Year,Month,cluster,Activity Period,Operating Airline,GEO Region,Boarding Area,Passenger Count,Year,Month
0,200507,ATA Airlines,TZ,US,Terminal 1,B,27271,2005,July,1,200507,ATA Airlines,US,B,27271,2005,July
1,200507,ATA Airlines,TZ,US,Terminal 1,B,29131,2005,July,1,200507,ATA Airlines,US,B,29131,2005,July
2,200507,ATA Airlines,TZ,US,Terminal 1,B,5415,2005,July,0,200507,ATA Airlines,US,B,5415,2005,July
3,200507,Air Canada ,AC,Canada,Terminal 1,B,35156,2005,July,1,200507,Air Canada ,Canada,B,35156,2005,July
4,200507,Air Canada ,AC,Canada,Terminal 1,B,34090,2005,July,1,200507,Air Canada ,Canada,B,34090,2005,July
5,200507,Air China,CA,Asia,International,G,6263,2005,July,0,200507,Air China,Asia,G,6263,2005,July
6,200507,Air China,CA,Asia,International,G,5500,2005,July,0,200507,Air China,Asia,G,5500,2005,July
7,200507,Air France,AF,Europe,International,A,12050,2005,July,0,200507,Air France,Europe,A,12050,2005,July
8,200507,Air France,AF,Europe,International,A,11638,2005,July,0,200507,Air France,Europe,A,11638,2005,July
9,200507,Air New Zealand,NZ,Australia / Oceania,International,G,4998,2005,July,0,200507,Air New Zealand,Australia / Oceania,G,4998,2005,July
10,200507,Air New Zealand,NZ,Australia / Oceania,International,G,4962,2005,July,0,200507,Air New Zealand,Australia / Oceania,G,4962,2005,July
11,200507,AirTran Airways,FL,US,International,A,8055,2005,July,0,200507,AirTran Airways,US,A,8055,2005,July
12,200507,AirTran Airways,FL,US,International,A,7984,2005,July,0,200507,AirTran Airways,US,A,7984,2005,July
13,200507,Alaska Airlines,AS,US,International,A,36641,2005,July,1,200507,Alaska Airlines,US,A,36641,2005,July
14,200507,Alaska Airlines,AS,US,International,A,39379,2005,July,1,200507,Alaska Airlines,US,A,39379,2005,July
15,200507,Alaska Airlines,AS,US,International,A,3678,2005,July,0,200507,Alaska Airlines,US,A,3678,2005,July
16,200507,Alaska Airlines,AS,Canada,International,A,7977,2005,July,0,200507,Alaska Airlines,Canada,A,7977,2005,July
17,200507,Alaska Airlines,AS,Canada,International,A,8837,2005,July,0,200507,Alaska Airlines,Canada,A,8837,2005,July
18,200507,Alaska Airlines,AS,Mexico,International,A,6969,2005,July,0,200507,Alaska Airlines,Mexico,A,6969,2005,July
19,200507,Alaska Airlines,AS,Mexico,International,A,10046,2005,July,0,200507,Alaska Airlines,Mexico,A,10046,2005,July
20,200507,Alaska Airlines,AS,Mexico,International,A,2266,2005,July,0,200507,Alaska Airlines,Mexico,A,2266,2005,July
21,200507,All Nippon Airways,NH,Asia,International,G,6545,2005,July,0,200507,All Nippon Airways,Asia,G,6545,2005,July
22,200507,All Nippon Airways,NH,Asia,International,G,6094,2005,July,0,200507,All Nippon Airways,Asia,G,6094,2005,July
23,200507,American Airlines,AA,US,Terminal 3,E,166577,2005,July,1,200507,American Airlines,US,E,44836,2005,July
24,200507,American Airlines,AA,US,Terminal 3,E,160890,2005,July,1,200507,American Airlines,US,E,44836,2005,July
25,200507,American Eagle Airlines,MQ,US,Terminal 3,E,5493,2005,July,0,200507,American Eagle Airlines,US,E,5493,2005,July
